I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931900799,* DLCALL [mpfm_is_testsvr] 출구 RC [1][0] ERRCODE [] [00.003181]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931947888,* DLCALL [mcpmopcntl] 입구 tdlseqno [1144733324]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931977795,* DLCALL [mcpmopcntl] 출구 RC [0][0] ERRCODE [] [00.029907]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142931977893,* DLCALL [mpfmsinit] 출구 RC [0][0] ERRCODE [] [00.286609]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932025800,* DLCALL [mpfminit01] 입구 tdlseqno [1144733324]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932029681,* DLCALL [mpfmaplog] 입구 tdlseqno [1144733324]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932055206,* DLCALL [mpfmaplog] 출구 RC [0][0] ERRCODE [] [00.025525]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932055689,* DLCALL [mpfminit01] 출구 RC [0][0] ERRCODE [] [00.029889]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932055951,* DLCALL [spfm0001a] 입구 tdlseqno [1144733324]
I,E,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932095064,[PF:00010002] [pfm_tran_f002] 요청한 함수가 존재하지 않습니다[pfm_tran_f002_open_ar].
I,E,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932095151,[PF:00038016]  CURSOR OPEN 오류입니다. errno [-10002] , errstr [[pfm_tran_f002] 요청한 함수가 존재하지 않습니다[pfm_tran_f002_open_ar].] , lastsql []
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932095307,* DLCALL [spfm0001a] 출구 RC [-1][0] ERRCODE [00038016] [00.039356]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932120282,* TPAPI [TX_ROLLBACK:] 입구 flags [0]
I,T,20060411devap00123142931321015,00,5,coreapd,SPFM0001A,20060411,142932123356,* TPAPI [TX_ROLLBACK:] 출구 tperrno [0] tperrstr [][00.003074]
