Date,Open,High,Low,Close,Volume,Adj Close
2013-11-12,10350.00,10700.00,10350.00,10650.00,168200,10650.00
2013-11-11,10550.00,10700.00,10200.00,10450.00,197700,10450.00
2013-11-08,10450.00,10600.00,10350.00,10500.00,168300,10500.00
2013-11-07,10800.00,10800.00,10600.00,10650.00,132800,10650.00
2013-11-06,10750.00,11100.00,10650.00,10800.00,252300,10800.00
2013-11-05,10500.00,10850.00,10500.00,10850.00,359600,10850.00
2013-11-04,10400.00,10550.00,10200.00,10550.00,147900,10550.00
2013-11-01,10500.00,10500.00,10250.00,10400.00,123100,10400.00
2013-10-31,10400.00,10550.00,10300.00,10500.00,124200,10500.00
2013-10-30,10450.00,10450.00,10050.00,10400.00,299900,10400.00
2013-10-29,10550.00,10550.00,10300.00,10450.00,99600,10450.00
2013-10-28,10450.00,10650.00,10150.00,10550.00,338700,10550.00
2013-10-25,10350.00,10500.00,10200.00,10400.00,155200,10400.00
2013-10-24,10200.00,10550.00,10050.00,10450.00,312200,10450.00
2013-10-23,9930.00,10350.00,9790.00,10200.00,485000,10200.00
2013-10-22,9530.00,9960.00,9490.00,9950.00,245900,9950.00
2013-10-21,9810.00,10100.00,9450.00,9530.00,430300,9530.00
2013-10-18,9070.00,9770.00,9070.00,9750.00,488300,9750.00
2013-10-17,9300.00,9310.00,8860.00,8970.00,460600,8970.00
2013-10-16,9400.00,9540.00,9200.00,9200.00,214500,9200.00
2013-10-15,9840.00,9850.00,9290.00,9370.00,479900,9370.00
2013-10-14,10050.00,10100.00,9750.00,9800.00,492700,9800.00
2013-10-11,10250.00,10250.00,10050.00,10100.00,211500,10100.00
2013-10-10,10250.00,10350.00,9990.00,10200.00,272900,10200.00
2013-10-09,10350.00,10350.00,10350.00,10350.00,000,10350.00
2013-10-08,10200.00,10350.00,10150.00,10350.00,93700,10350.00
2013-10-07,10300.00,10400.00,10050.00,10300.00,154600,10300.00
2013-10-04,10400.00,10650.00,10200.00,10250.00,329600,10250.00
2013-10-03,10050.00,10050.00,10050.00,10050.00,000,10050.00
2013-10-02,10500.00,10600.00,10050.00,10050.00,287100,10050.00
2013-10-01,10750.00,10750.00,10200.00,10450.00,164700,10450.00
2013-09-30,10700.00,10900.00,10650.00,10800.00,155400,10800.00
2013-09-27,10700.00,10900.00,10500.00,10900.00,205100,10900.00
2013-09-26,10450.00,10900.00,10450.00,10800.00,179600,10800.00
